Time,Source IP,Destination IP,Protocol,Packet Size,Source Port,Destination Port
2026-01-01T12:00:00,192.168.1.1,10.0.0.1,TCP,60,1000,443
2026-01-01T12:00:00,192.168.1.2,10.0.0.2,UDP,61,1001,80
2026-01-01T12:00:00,192.168.1.3,10.0.0.3,ICMP,62,1002,80
2026-01-01T12:00:00,192.168.1.4,10.0.0.4,TCP,63,1003,80
2026-01-01T12:00:00,192.168.1.5,10.0.0.5,UDP,64,1004,443
2026-01-01T12:00:01,192.168.1.6,10.0.0.6,ICMP,65,1005,80
2026-01-01T12:00:01,192.168.1.7,10.0.0.7,TCP,66,1006,80
2026-01-01T12:00:01,192.168.1.8,10.0.0.8,UDP,67,1007,80
2026-01-01T12:00:01,192.168.1.9,10.0.0.1,ICMP,68,1008,443
2026-01-01T12:00:01,192.168.1.10,10.0.0.2,TCP,69,1009,80
2026-01-01T12:00:02,192.168.1.11,10.0.0.3,UDP,70,1010,80
2026-01-01T12:00:02,192.168.1.12,10.0.0.4,ICMP,71,1011,80
2026-01-01T12:00:02,192.168.1.1,10.0.0.5,TCP,72,1012,443
2026-01-01T12:00:02,192.168.1.2,10.0.0.6,UDP,73,1013,80
2026-01-01T12:00:02,192.168.1.3,10.0.0.7,ICMP,74,1014,80
2026-01-01T12:00:03,192.168.1.4,10.0.0.8,TCP,75,1015,80
2026-01-01T12:00:03,192.168.1.5,10.0.0.1,UDP,76,1016,443
2026-01-01T12:00:03,192.168.1.6,10.0.0.2,ICMP,77,1017,80
2026-01-01T12:00:03,192.168.1.7,10.0.0.3,TCP,78,1018,80
2026-01-01T12:00:03,192.168.1.8,10.0.0.4,UDP,79,1019,80
2026-01-01T12:00:04,192.168.1.9,10.0.0.5,ICMP,80,1020,443
2026-01-01T12:00:04,192.168.1.10,10.0.0.6,TCP,81,1021,80
2026-01-01T12:00:04,192.168.1.11,10.0.0.7,UDP,82,1022,80
2026-01-01T12:00:04,192.168.1.12,10.0.0.8,ICMP,83,1023,80
2026-01-01T12:00:04,192.168.1.1,10.0.0.1,TCP,84,1024,443
2026-01-01T12:00:05,192.168.1.2,10.0.0.2,UDP,85,1025,80
2026-01-01T12:00:05,192.168.1.3,10.0.0.3,ICMP,86,1026,80
2026-01-01T12:00:05,192.168.1.4,10.0.0.4,TCP,87,1027,80
2026-01-01T12:00:05,192.168.1.5,10.0.0.5,UDP,88,1028,443
2026-01-01T12:00:05,192.168.1.6,10.0.0.6,ICMP,89,1029,80
2026-01-01T12:00:06,192.168.1.7,10.0.0.7,TCP,90,1030,80
2026-01-01T12:00:06,192.168.1.8,10.0.0.8,UDP,91,1031,80
2026-01-01T12:00:06,192.168.1.9,10.0.0.1,ICMP,92,1032,443
2026-01-01T12:00:06,192.168.1.10,10.0.0.2,TCP,93,1033,80
2026-01-01T12:00:06,192.168.1.11,10.0.0.3,UDP,94,1034,80
2026-01-01T12:00:07,192.168.1.12,10.0.0.4,ICMP,95,1035,80
2026-01-01T12:00:07,192.168.1.1,10.0.0.5,TCP,96,1036,443
2026-01-01T12:00:07,192.168.1.2,10.0.0.6,UDP,97,1037,80
2026-01-01T12:00:07,192.168.1.3,10.0.0.7,ICMP,98,1038,80
2026-01-01T12:00:07,192.168.1.4,10.0.0.8,TCP,99,1039,80
2026-01-01T12:00:08,192.168.1.5,10.0.0.1,UDP,100,1040,443
2026-01-01T12:00:08,192.168.1.6,10.0.0.2,ICMP,101,1041,80
2026-01-01T12:00:08,192.168.1.7,10.0.0.3,TCP,102,1042,80
2026-01-01T12:00:08,192.168.1.8,10.0.0.4,UDP,103,1043,80
2026-01-01T12:00:08,192.168.1.9,10.0.0.5,ICMP,104,1044,443
2026-01-01T12:00:09,192.168.1.10,10.0.0.6,TCP,105,1045,80
2026-01-01T12:00:09,192.168.1.11,10.0.0.7,UDP,106,1046,80
2026-01-01T12:00:09,192.168.1.12,10.0.0.8,ICMP,107,1047,80
2026-01-01T12:00:09,192.168.1.1,10.0.0.1,TCP,108,1048,443
2026-01-01T12:00:09,192.168.1.2,10.0.0.2,UDP,109,1049,80
2026-01-01T12:00:10,192.168.1.3,10.0.0.3,ICMP,110,1000,80
2026-01-01T12:00:10,192.168.1.4,10.0.0.4,TCP,111,1001,80
2026-01-01T12:00:10,192.168.1.5,10.0.0.5,UDP,112,1002,443
2026-01-01T12:00:10,192.168.1.6,10.0.0.6,ICMP,113,1003,80
2026-01-01T12:00:10,192.168.1.7,10.0.0.7,TCP,114,1004,80
2026-01-01T12:00:11,192.168.1.8,10.0.0.8,UDP,115,1005,80
2026-01-01T12:00:11,192.168.1.9,10.0.0.1,ICMP,116,1006,443
2026-01-01T12:00:11,192.168.1.10,10.0.0.2,TCP,117,1007,80
2026-01-01T12:00:11,192.168.1.11,10.0.0.3,UDP,118,1008,80
2026-01-01T12:00:11,192.168.1.12,10.0.0.4,ICMP,119,1009,80
2026-01-01T12:00:12,192.168.1.1,10.0.0.5,TCP,120,1010,443
2026-01-01T12:00:12,192.168.1.2,10.0.0.6,UDP,121,1011,80
2026-01-01T12:00:12,192.168.1.3,10.0.0.7,ICMP,122,1012,80
2026-01-01T12:00:12,192.168.1.4,10.0.0.8,TCP,123,1013,80
2026-01-01T12:00:12,192.168.1.5,10.0.0.1,UDP,124,1014,443
2026-01-01T12:00:13,192.168.1.6,10.0.0.2,ICMP,125,1015,80
2026-01-01T12:00:13,192.168.1.7,10.0.0.3,TCP,126,1016,80
2026-01-01T12:00:13,192.168.1.8,10.0.0.4,UDP,127,1017,80
2026-01-01T12:00:13,192.168.1.9,10.0.0.5,ICMP,128,1018,443
2026-01-01T12:00:13,192.168.1.10,10.0.0.6,TCP,129,1019,80
2026-01-01T12:00:14,192.168.1.11,10.0.0.7,UDP,130,1020,80
